province_state,country_region,date,latitude,longitude,sub_region1_name,location_geom,confirmed,deaths,recovered,active
Madhya Pradesh,India,2020-04-29,24.2,82.67,Madhya Pradesh,POINT(82.67 24.2),0,0,0,0
Uttar Pradesh,India,2020-03-05,28.58,78.55,Uttar Pradesh,POINT(78.55 28.58),0,0,0,0
Maharashtra,India,2020-04-04,18.833333,75.75,Maharashtra,POINT(75.75 18.833333),0,0,0,0
Uttar Pradesh,India,2020-03-30,27.300503,83.094497,Uttar Pradesh,POINT(83.094497 27.300503),0,0,0,0
Maharashtra,India,2020-04-16,19.95,79.3,Maharashtra,POINT(79.3 19.95),0,0,0,0
Maharashtra,India,2020-04-01,21,79,Maharashtra,POINT(79 21),0,0,0,0
Uttar Pradesh,India,2020-03-16,25.8944,81.9388,Uttar Pradesh,POINT(81.9388 25.8944),0,0,0,0
Uttarakhand,India,2020-03-13,29.597181,79.657,Uttarakhand,POINT(79.657 29.597181),0,0,0,0
Uttar Pradesh,India,2020-03-11,28.58,78.55,Uttar Pradesh,POINT(78.55 28.58),0,0,0,0
Maharashtra,India,2020-03-08,16.697903,74.225369,Maharashtra,POINT(74.225369 16.697903),0,0,0,0
Maharashtra,India,2020-04-10,19.05,72.833333,Maharashtra,POINT(72.833333 19.05),0,0,0,0
Maharashtra,India,2020-04-15,21.183333,80,Maharashtra,POINT(80 21.183333),0,0,0,0
Uttar Pradesh,India,2020-03-06,26.4667,79.5167,Uttar Pradesh,POINT(79.5167 26.4667),0,0,0,0
Haryana,India,2020-03-25,28.15,77.33,Haryana,POINT(77.33 28.15),0,0,0,0
Meghalaya,India,2020-04-07,25.5667,91.8833,Meghalaya,POINT(91.8833 25.5667),0,0,0,0
Uttarakhand,India,2020-04-11,29.85,79.77,Uttarakhand,POINT(79.77 29.85),0,0,0,0
Uttar Pradesh,India,2020-04-20,27.701958,81.934844,Uttar Pradesh,POINT(81.934844 27.701958),0,0,0,0
