date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,442244,4053,336981,101210,101210
2020-09-02,452636,4125,345435,103076,204286
2020-09-03,462835,4200,354934,103701,307987
2020-09-04,473611,4276,367268,102067,410054
2020-09-05,484436,4347,379209,100880,510934
2020-09-06,495230,4417,391124,99689,610623
2020-09-07,503598,4487,401179,97932,607345
2020-09-08,514199,4560,412870,96769,601038
2020-09-09,524617,4634,422712,97271,594608
2020-09-10,534792,4702,432752,97338,589879
2020-09-11,544791,4779,443821,96191,585190
2020-09-12,554692,4846,454113,95733,581234
2020-09-13,564228,4912,464244,95072,578374
2020-09-14,572184,4972,474008,93204,574809
2020-09-15,581030,5041,483636,92353,569891
2020-09-16,589865,5105,494481,90279,562832
2020-09-17,598567,5177,505193,88197,554838
2020-09-18,606663,5244,516996,84423,543528
2020-09-19,614881,5302,527816,81763,530219
2020-09-20,622619,5359,538424,78836,515851
2020-09-21,628854,5410,548926,74518,498016
2020-09-22,636407,5461,559481,71465,479202
2020-09-23,643635,5506,567772,70357,461362
2020-09-24,651490,5558,576579,69353,446292
2020-09-25,658563,5606,585274,67683,432212
2020-09-26,665856,5663,594399,65794,419170
2020-09-27,672779,5708,602195,64876,409528
2020-09-28,678266,5745,609405,63116,401179
2020-09-29,684456,5780,619241,59435,390257
2020-09-30,690589,5828,626316,58445,379349
