date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,4018,7,2865,1146,1146
2020-09-02,4145,7,2957,1181,2327
2020-09-03,4355,8,3030,1317,3644
2020-09-04,4552,8,3131,1413,5057
2020-09-05,4684,8,3230,1446,6503
2020-09-06,4765,8,3311,1446,7949
2020-09-07,4937,8,3427,1502,8305
2020-09-08,5152,9,3541,1602,8726
2020-09-09,5290,9,3715,1566,8975
2020-09-10,5417,9,3811,1597,9159
2020-09-11,5562,10,3912,1640,9353
2020-09-12,5694,10,4039,1645,9552
2020-09-13,5847,10,4153,1684,9734
2020-09-14,6013,11,4299,1703,9835
2020-09-15,6181,13,4422,1746,10015
2020-09-16,6405,13,4542,1850,10268
2020-09-17,6563,13,4716,1834,10462
2020-09-18,6714,13,4851,1850,10667
2020-09-19,6956,13,5023,1920,10903
2020-09-20,7082,13,5142,1927,11127
2020-09-21,7267,13,5375,1879,11260
2020-09-22,7506,14,5508,1984,11394
2020-09-23,7784,14,5628,2142,11702
2020-09-24,8063,14,5793,2256,12108
2020-09-25,8311,14,5951,2346,12534
2020-09-26,8505,14,6118,2373,12980
2020-09-27,8633,14,6207,2412,13513
2020-09-28,8938,15,6304,2619,14148
2020-09-29,9144,16,6441,2687,14693
2020-09-30,9374,16,6564,2794,15231
