date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,138265,709,121601,15955,15955
2020-09-02,140234,722,123404,16108,32063
2020-09-03,142156,728,124976,16452,48515
2020-09-04,144134,741,126411,16982,65497
2020-09-05,145861,750,128376,16735,82232
2020-09-06,147658,754,130300,16604,98836
2020-09-07,149027,761,132145,16121,99002
2020-09-08,150694,765,134089,15840,98734
2020-09-09,152192,775,135791,15626,97908
2020-09-10,153735,785,137271,15679,96605
2020-09-11,155445,797,139458,15190,95060
2020-09-12,156866,808,141158,14900,93356
2020-09-13,158389,822,143053,14514,91749
2020-09-14,159526,831,145019,13676,89585
2020-09-15,161101,836,146533,13732,87691
2020-09-16,162632,848,148257,13527,85539
2020-09-17,164224,855,149722,13647,83996
2020-09-18,165371,859,151400,13112,82208
2020-09-19,166987,861,152956,13170,80864
2020-09-20,168542,864,154443,13235,80423
2020-09-21,169856,870,155824,13162,79853
2020-09-22,171465,873,157056,13536,79862
2020-09-23,173063,874,158546,13643,79858
2020-09-24,174266,878,159700,13688,80434
2020-09-25,175898,881,161510,13507,80771
2020-09-26,177355,886,163132,13337,80873
2020-09-27,178882,888,164537,13457,81168
2020-09-28,180032,892,166188,12952,80584
2020-09-29,181471,894,167890,12687,79628
2020-09-30,182906,904,169625,12377,78317
