date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,12057,164,10009,1884,12708
2020-10-02,12212,169,10162,1881,12291
2020-10-03,12360,172,10396,1792,11780
2020-10-04,12445,174,10598,1673,11253
2020-10-05,12578,177,10797,1604,10797
2020-10-06,12707,180,11035,1492,10326
2020-10-07,12820,182,11190,1448,9890
2020-10-08,12922,186,11344,1392,9401
2020-10-09,12985,188,11505,1292,8901
2020-10-10,13081,190,11662,1229,8457
2020-10-11,13166,191,11787,1188,8041
2020-10-12,13260,192,11898,1170,7719
2020-10-13,13331,197,12007,1127,7398
2020-10-14,13403,199,12119,1085,7091
2020-10-15,13477,201,12232,1044,6843
2020-10-16,13532,206,12352,974,6588
2020-10-17,13582,207,12460,915,6315
2020-10-18,13646,208,12554,884,6029
2020-10-19,13686,208,12617,861,5763
2020-10-20,13743,209,12724,810,5488
2020-10-21,13797,209,12842,746,5190
2020-10-22,13848,212,12924,712,4928
2020-10-23,13920,214,13009,697,4710
2020-10-24,13977,216,13087,674,4500
2020-10-25,14038,218,13167,653,4292
2020-10-26,14085,222,13230,633,4115
2020-10-27,14152,223,13279,650,4019
2020-10-28,14212,224,13359,629,3936
2020-10-29,14292,225,13402,665,3904
2020-10-30,14351,225,13469,657,3887
2020-10-31,14418,226,13551,641,3875
