date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,32388,278,17162,14948,14948
2020-09-02,34627,287,17805,16535,31483
2020-09-03,36903,303,18529,18071,49554
2020-09-04,39508,325,19112,20071,69625
2020-09-05,42004,343,19981,21680,91305
2020-09-06,44011,366,20653,22992,114297
2020-09-07,46011,380,21577,24054,123403
2020-09-08,48809,391,22178,26240,133108
2020-09-09,51556,461,23284,27811,142848
2020-09-10,54223,477,25065,28681,151458
2020-09-11,57102,502,26268,30332,160110
2020-09-12,60042,522,27083,32437,169555
2020-09-13,62236,538,30983,30715,176216
2020-09-14,65486,556,32119,32811,182787
2020-09-15,68798,571,33193,35034,190010
2020-09-16,71966,593,34830,36543,197872
2020-09-17,75529,610,39962,34957,202497
2020-09-18,79172,625,43194,35353,205413
2020-09-19,81749,643,44880,36226,210924
2020-09-20,83673,656,46451,36566,214679
2020-09-21,85560,669,48329,36562,216207
2020-09-22,88235,696,50758,36781,216445
2020-09-23,90477,705,55396,34376,215864
2020-09-24,92625,729,57449,34447,214958
2020-09-25,95455,754,65262,29439,208171
2020-09-26,99126,791,69309,29026,200631
2020-09-27,101307,813,70517,29977,194046
2020-09-28,104863,840,72743,31280,188545
2020-09-29,107016,877,76378,29761,183930
2020-09-30,109843,917,79509,29417,178900
