date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,3054,2,2912,140,953
2020-10-02,3063,2,2933,128,891
2020-10-03,3070,2,2941,127,838
2020-10-04,3087,2,2954,131,809
2020-10-05,3092,2,2964,126,788
2020-10-06,3103,2,2973,128,780
2020-10-07,3120,2,2985,133,773
2020-10-08,3132,2,3000,130,775
2020-10-09,3140,2,3012,126,774
2020-10-10,3152,2,3025,125,768
2020-10-11,3163,2,3034,127,769
2020-10-12,3168,2,3039,127,768
2020-10-13,3168,2,3056,110,745
2020-10-14,3171,2,3065,104,719
2020-10-15,3172,2,3073,97,690
2020-10-16,3177,2,3084,91,656
2020-10-17,3180,2,3094,84,613
2020-10-18,3183,2,3102,79,565
2020-10-19,3185,2,3115,68,523
2020-10-20,3194,2,3128,64,483
2020-10-21,3207,2,3136,69,455
2020-10-22,3213,2,3137,74,438
2020-10-23,3219,2,3140,77,431
2020-10-24,3223,2,3144,77,429
2020-10-25,3226,2,3146,78,439
2020-10-26,3226,2,3147,77,452
2020-10-27,3229,2,3152,75,458
2020-10-28,3235,2,3155,78,462
2020-10-29,3241,2,3163,76,461
2020-10-30,3246,2,3168,76,460
2020-10-31,3249,2,3181,66,448
