date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,97583,3034,78888,15661,15661
2020-09-02,98888,3046,80029,15813,31474
2020-09-03,100213,3062,81155,15996,47470
2020-09-04,101533,3076,82373,16084,63554
2020-09-05,102844,3091,83519,16234,79788
2020-09-06,104179,3105,84731,16343,96131
2020-09-07,105509,3120,86007,16382,96852
2020-09-08,106804,3133,87452,16219,97258
2020-09-09,108133,3149,88788,16196,97458
2020-09-10,109465,3164,90203,16098,97472
2020-09-11,110809,3180,91443,16186,97424
2020-09-12,112174,3195,92778,16201,97282
2020-09-13,113500,3210,93983,16307,97207
2020-09-14,114834,3227,95238,16369,97357
2020-09-15,116183,3244,96682,16257,97418
2020-09-16,117547,3256,98129,16162,97482
2020-09-17,118926,3270,99781,15875,97171
2020-09-18,120336,3286,101074,15976,96946
2020-09-19,121768,3302,102544,15922,96561
2020-09-20,123175,3319,103748,16108,96300
2020-09-21,124605,3336,105064,16205,96248
2020-09-22,126007,3352,106385,16270,96356
2020-09-23,127379,3367,107674,16338,96819
2020-09-24,128787,3381,109179,16227,97070
2020-09-25,130229,3393,110458,16378,97526
2020-09-26,131646,3406,111877,16363,97781
2020-09-27,133057,3416,113108,16533,98109
2020-09-28,134461,3428,114444,16589,98428
2020-09-29,135842,3439,115827,16576,98666
2020-09-30,137232,3450,117199,16583,99022
