date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,129287,1400,114623,13264,90663
2020-10-02,130748,1421,116292,13035,86763
2020-10-03,131932,1446,117805,12681,83173
2020-10-04,133225,1466,119874,11885,79603
2020-10-05,134251,1487,121104,11660,76657
2020-10-06,135440,1505,122777,11158,73683
2020-10-07,136713,1524,124325,10864,71283
2020-10-08,137989,1544,125745,10700,68948
2020-10-09,139230,1558,127008,10664,66931
2020-10-10,140388,1568,128309,10511,65557
2020-10-11,141429,1575,129460,10394,64291
2020-10-12,142493,1588,130680,10225,63358
2020-10-13,143555,1597,131828,10130,62624
2020-10-14,144748,1610,133137,10001,61925
2020-10-15,145936,1619,134144,10173,61434
2020-10-16,147156,1630,135277,10249,61172
2020-10-17,148289,1636,136581,10072,60850
2020-10-18,149225,1636,137745,9844,60469
2020-10-19,150420,1643,138900,9877,60216
2020-10-20,151359,1654,139816,9889,60104
2020-10-21,152535,1667,140882,9986,59917
2020-10-22,153654,1681,142149,9824,59492
2020-10-23,154912,1698,143325,9889,59309
2020-10-24,156202,1713,144529,9960,59425
2020-10-25,157439,1719,145606,10114,59662
2020-10-26,158585,1729,146887,9969,59742
2020-10-27,159825,1742,147809,10274,60030
2020-10-28,161320,1750,148757,10813,61019
2020-10-29,162896,1758,149957,11181,62311
2020-10-30,164526,1769,151114,11643,63994
2020-10-31,166245,1781,152500,11964,65844
