date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,6255,41,4646,1568,1568
2020-09-02,6416,42,4715,1659,3227
2020-09-03,6615,47,4813,1755,4982
2020-09-04,6830,49,4920,1861,6843
2020-09-05,7018,53,4941,2024,8867
2020-09-06,7415,54,5138,2223,11090
2020-09-07,7660,55,5359,2246,11768
2020-09-08,7831,59,5444,2328,12437
2020-09-09,8147,62,5586,2499,13181
2020-09-10,8466,65,5666,2735,14055
2020-09-11,8784,70,5824,2890,14921
2020-09-12,9229,72,5947,3210,15908
2020-09-13,9555,76,6099,3380,17042
2020-09-14,9923,81,6167,3675,18389
2020-09-15,10335,89,6417,3829,19719
2020-09-16,10795,90,6531,4174,21158
2020-09-17,11190,97,6919,4174,22442
2020-09-18,11622,109,7054,4459,23691
2020-09-19,11908,114,7457,4337,24648
2020-09-20,12129,118,7548,4463,25436
2020-09-21,12438,125,7836,4477,26084
2020-09-22,12769,130,8491,4148,26058
2020-09-23,13049,135,8937,3977,25861
2020-09-24,13386,145,9232,4009,25411
2020-09-25,13679,152,9528,3999,25073
2020-09-26,13996,159,9710,4127,24737
2020-09-27,14191,170,10339,3682,23942
2020-09-28,14457,175,10607,3675,23469
2020-09-29,14747,178,10971,3598,23090
2020-09-30,14976,181,11370,3425,22506
