date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,43833,428,28149,15256,15256
2020-09-02,44862,438,29747,14677,29933
2020-09-03,46480,444,30886,15150,45083
2020-09-04,48039,447,32043,15549,60632
2020-09-05,49797,462,34330,15005,75637
2020-09-06,51063,469,36184,14410,90047
2020-09-07,52620,482,37550,14588,89379
2020-09-08,55296,496,39362,15438,90140
2020-09-09,56897,512,40659,15726,90716
2020-09-10,58079,517,42115,15447,90614
2020-09-11,59040,532,43328,15180,90789
2020-09-12,60460,542,45074,14844,91223
2020-09-13,61474,555,46583,14336,90971
2020-09-14,62737,561,48112,14064,89597
2020-09-15,64439,571,49750,14118,87989
2020-09-16,66074,579,51357,14138,86680
2020-09-17,67100,590,52807,13703,85203
2020-09-18,68578,602,54052,13924,84283
2020-09-19,69860,615,55697,13548,83495
2020-09-20,71352,617,56944,13791,83222
2020-09-21,72673,626,58543,13504,82608
2020-09-22,73948,641,60027,13280,81750
2020-09-23,75089,648,61559,12882,80929
2020-09-24,76438,652,62945,12841,79846
2020-09-25,77709,661,64515,12533,78831
2020-09-26,78935,670,65839,12426,77466
2020-09-27,79909,679,66797,12433,76395
2020-09-28,81417,688,68603,12126,75241
2020-09-29,82540,700,69898,11942,74301
2020-09-30,83651,713,71342,11596,73056
