date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,611801,8991,492379,110431,636433
2020-10-02,620594,9116,499473,112005,646637
2020-10-03,630480,9216,508462,112802,654696
2020-10-04,640625,9283,515749,115593,666222
2020-10-05,647676,9367,522813,115496,673962
2020-10-06,657669,9458,533041,115170,681497
2020-10-07,668616,9571,542873,116172,687238
2020-10-08,679320,9672,552486,117162,692395
2020-10-09,690233,9786,561577,118870,698463
2020-10-10,700750,9888,569914,120948,703818
2020-10-11,710273,9963,580021,120289,708611
2020-10-12,717879,10033,592051,115795,709236
2020-10-13,726070,10120,602472,113478,706542
2020-10-14,735335,10195,611134,114006,703386
2020-10-15,743812,10280,619975,113557,698073
2020-10-16,751354,10353,628555,112446,689571
2020-10-17,758538,10424,637448,110666,679948
2020-10-18,765550,10475,645792,109283,673436
2020-10-19,770568,10539,653796,106233,666191
2020-10-20,776865,10605,662296,103964,656149
2020-10-21,782737,10693,671585,100459,643051
2020-10-22,788515,10767,684802,92946,623551
2020-10-23,793871,10818,693551,89502,602387
2020-10-24,798342,10870,700704,86768,579872
2020-10-25,802781,10902,710810,81069,554708
2020-10-26,805911,10944,719525,75442,526186
2020-10-27,809602,10988,727265,71349,497076
2020-10-28,812748,11043,733525,68180,472310
2020-10-29,816773,11088,741186,64499,447307
2020-10-30,820362,11137,749707,59518,420057
2020-10-31,823376,11165,757175,55036,394024
