date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,204242,772,131052,72418,368923
2020-10-02,213500,792,135144,77564,393734
2020-10-03,221334,814,139620,80900,417848
2020-10-04,229887,837,144471,84579,444470
2020-10-05,234929,860,149111,84958,467559
2020-10-06,242800,885,154092,87823,488242
2020-10-07,253406,907,160253,92246,508070
2020-10-08,258851,931,167256,90664,521170
2020-10-09,268101,956,175304,91841,532111
2020-10-10,279856,979,182874,96003,543535
2020-10-11,289203,1004,191798,96401,554978
2020-10-12,295133,1026,199634,94473,561628
2020-10-13,303897,1047,207357,95493,564875
2020-10-14,310141,1067,215149,93925,568136
2020-10-15,317930,1090,222231,94609,570904
2020-10-16,325213,1114,228998,95101,570002
2020-10-17,334229,1140,236989,96100,569701
2020-10-18,341860,1162,245399,95299,570527
2020-10-19,346882,1183,252868,92831,567865
2020-10-20,353473,1207,260243,92023,565963
2020-10-21,361842,1233,267082,93527,564881
2020-10-22,369324,1256,274675,93393,563173
2020-10-23,377835,1282,280793,95760,562833
2020-10-24,386088,1307,287261,97520,565054
2020-10-25,392931,1333,294910,96688,568911
2020-10-26,397218,1353,302017,93848,570736
2020-10-27,402675,1377,309032,92266,569475
2020-10-28,411465,1404,316692,93369,569451
2020-10-29,418485,1430,325166,91889,565580
2020-10-30,425123,1458,332994,90671,558731
2020-10-31,433106,1485,340324,91297,553340
