date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,4360,61,3232,1067,6222
2020-10-02,4429,61,3274,1094,6298
2020-10-03,4477,61,3315,1101,6386
2020-10-04,4521,61,3354,1106,6462
2020-10-05,4641,61,3414,1166,6598
2020-10-06,4720,61,3464,1195,6729
2020-10-07,4802,63,3511,1228,6890
2020-10-08,4902,63,3550,1289,7085
2020-10-09,4987,63,3886,1038,7022
2020-10-10,5059,64,3973,1022,6938
2020-10-11,5081,64,4037,980,6752
2020-10-12,5151,64,4126,961,6518
2020-10-13,5238,64,4205,969,6259
2020-10-14,5304,64,4261,979,5949
2020-10-15,5393,65,4310,1018,5929
2020-10-16,5441,65,4461,915,5822
2020-10-17,5534,66,4535,933,5775
2020-10-18,5598,66,4615,917,5731
2020-10-19,5647,66,4701,880,5642
2020-10-20,5695,67,4787,841,5504
2020-10-21,5781,68,4865,848,5334
2020-10-22,5812,68,4902,842,5261
2020-10-23,5840,68,4984,788,5116
2020-10-24,5913,71,5052,790,4989
2020-10-25,5933,71,5126,736,4845
2020-10-26,5978,71,5216,691,4695
2020-10-27,6024,73,5262,689,4536
2020-10-28,6085,74,5369,642,4336
2020-10-29,6139,74,5438,627,4175
2020-10-30,6194,74,5493,627,4012
2020-10-31,6270,75,5539,656,3932
