date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,129761,2335,106967,20459,129241
2020-10-02,131775,2371,109297,20107,127149
2020-10-03,133584,2398,111395,19791,124538
2020-10-04,135303,2433,113512,19358,122002
2020-10-05,136759,2462,115558,18739,119436
2020-10-06,138329,2487,117714,18128,116582
2020-10-07,139964,2517,119938,17509,113632
2020-10-08,141669,2546,122354,16769,110294
2020-10-09,143267,2573,124549,16145,106648
2020-10-10,144882,2598,126692,15592,102882
2020-10-11,146452,2623,128677,15152,99295
2020-10-12,147926,2644,130378,14904,96071
2020-10-13,149388,2670,132083,14635,93197
2020-10-14,154900,2685,137809,14406,90834
2020-10-15,156208,2709,139359,14140,88829
2020-10-16,157558,2734,140912,13912,87149
2020-10-17,158774,2752,142336,13686,85683
2020-10-18,159798,2772,143758,13268,84047
2020-10-19,160812,2785,145045,12982,82394
2020-10-20,161773,2810,146482,12481,80469
2020-10-21,162890,2827,147703,12360,78689
2020-10-22,163934,2841,148971,12122,76899
2020-10-23,164884,2854,150294,11736,74949
2020-10-24,165882,2874,151560,11448,73129
2020-10-25,166830,2884,152740,11206,71353
2020-10-26,167550,2889,153820,10841,69713
2020-10-27,168064,2897,154830,10337,67690
2020-10-28,168850,2912,155859,10079,65647
2020-10-29,169574,2928,156973,9673,63584
2020-10-30,170258,2940,158045,9273,61409
2020-10-31,170924,2950,159069,8905,59108
