date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,1348957,35986,1064462,248509,1522794
2020-10-02,1363711,36403,1077300,250008,1514223
2020-10-03,1377240,36680,1092743,247817,1499531
2020-10-04,1389119,36995,1107384,244740,1489604
2020-10-05,1398773,37252,1119583,241938,1481630
2020-10-06,1410359,37615,1136170,236574,1469586
2020-10-07,1423782,37954,1152087,233741,1454818
2020-10-08,1436237,38294,1166722,231221,1436031
2020-10-09,1447651,38577,1183450,225624,1413838
2020-10-10,1458198,38860,1206756,212582,1381680
2020-10-11,1468430,39152,1216895,212383,1352125
2020-10-12,1475146,39312,1232109,203725,1319276
2020-10-13,1483167,39496,1246887,196784,1282319
2020-10-14,1493168,39654,1265428,188086,1239184
2020-10-15,1502951,39977,1278659,184315,1197875
2020-10-16,1513947,40276,1292030,181641,1166934
2020-10-17,1523719,40727,1305887,177105,1131656
2020-10-18,1532346,40872,1316940,174534,1102465
2020-10-19,1538100,41023,1331713,165364,1071045
2020-10-20,1545826,41234,1338902,165690,1048649
2020-10-21,1553607,41410,1361663,150534,1014868
2020-10-22,1560830,41593,1377393,141844,975071
2020-10-23,1567834,41765,1390465,135604,933570
2020-10-24,1574007,41898,1400126,131983,891019
2020-10-25,1579784,42008,1405691,132085,857740
2020-10-26,1583277,42092,1415094,126091,818141
2020-10-27,1588346,42203,1422508,123635,791242
2020-10-28,1594760,42290,1430235,122235,771633
2020-10-29,1600340,42439,1437662,120239,756268
2020-10-30,1606248,42559,1445387,118302,742587
2020-10-31,1611551,42631,1452451,116469,726971
