date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,5802,51,4001,1750,9284
2020-10-02,6033,52,4226,1755,9524
2020-10-03,6456,54,4319,2083,10127
2020-10-04,6656,54,4393,2209,10888
2020-10-05,6767,59,4491,2217,11629
2020-10-06,7037,60,4606,2371,12385
2020-10-07,7165,60,4694,2411,13046
2020-10-08,7261,60,4832,2369,13660
2020-10-09,7388,61,4903,2424,14001
2020-10-10,7544,62,5045,2437,14229
2020-10-11,7683,63,5142,2478,14490
2020-10-12,7771,64,5273,2434,14553
2020-10-13,7838,65,5406,2367,14509
2020-10-14,7991,70,5582,2339,14479
2020-10-15,8164,73,5646,2445,14500
2020-10-16,8303,75,5736,2492,14555
2020-10-17,8404,75,6034,2295,14372
2020-10-18,8508,75,6282,2151,14089
2020-10-19,8536,75,6392,2069,13791
2020-10-20,8593,76,6497,2020,13472
2020-10-21,8621,77,6674,1870,12897
2020-10-22,8720,78,6981,1661,12066
2020-10-23,8801,79,7092,1630,11401
2020-10-24,8884,80,7228,1576,10826
2020-10-25,9020,81,7332,1607,10364
2020-10-26,9068,81,7471,1516,9860
2020-10-27,9138,82,7643,1413,9403
2020-10-28,9228,85,7777,1366,9108
2020-10-29,9305,87,7890,1328,8806
2020-10-30,9382,87,8125,1170,8400
2020-10-31,9452,88,8345,1019,7812
