date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,1003,0,603,400,400
2020-09-02,1011,0,652,359,759
2020-09-03,1031,0,662,369,1128
2020-09-04,1037,0,674,363,1491
2020-09-05,1053,0,706,347,1838
2020-09-06,1084,0,725,359,2197
2020-09-07,1105,0,725,380,2177
2020-09-08,1114,0,738,376,2194
2020-09-09,1183,0,743,440,2265
2020-09-10,1324,0,743,581,2483
2020-09-11,1344,0,783,561,2697
2020-09-12,1365,0,816,549,2887
2020-09-13,1400,0,823,577,3084
2020-09-14,1412,0,912,500,3208
2020-09-15,1449,0,915,534,3302
2020-09-16,1461,0,922,539,3260
2020-09-17,1486,0,942,544,3243
2020-09-18,1514,0,964,550,3244
2020-09-19,1528,0,980,548,3215
2020-09-20,1558,0,993,565,3280
2020-09-21,1565,0,1003,562,3308
2020-09-22,1671,0,1014,657,3426
2020-09-23,1693,0,1086,607,3489
2020-09-24,1739,0,1095,644,3583
2020-09-25,1766,0,1279,487,3522
2020-09-26,1815,0,1307,508,3465
2020-09-27,1845,0,1349,496,3399
2020-09-28,1888,0,1397,491,3233
2020-09-29,1938,0,1528,410,3036
2020-09-30,1966,0,1578,388,2780
