date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,6198,12,5053,1133,6549
2020-10-02,6272,12,5120,1140,6620
2020-10-03,6383,12,5166,1205,6738
2020-10-04,6506,12,5217,1277,6967
2020-10-05,6548,12,5331,1205,7086
2020-10-06,6616,12,5368,1236,7196
2020-10-07,6669,12,5404,1253,7316
2020-10-08,6690,12,5470,1208,7384
2020-10-09,6842,12,5562,1268,7447
2020-10-10,6903,12,5595,1296,7466
2020-10-11,6973,12,5644,1317,7578
2020-10-12,7194,13,5714,1467,7809
2020-10-13,7317,14,5732,1571,8127
2020-10-14,7370,17,5814,1539,8458
2020-10-15,7446,17,5914,1515,8705
2020-10-16,7558,17,6005,1536,8945
2020-10-17,7652,21,6031,1600,9228
2020-10-18,7770,21,6096,1653,9414
2020-10-19,7907,21,6162,1724,9567
2020-10-20,7974,21,6222,1731,9759
2020-10-21,8093,21,6315,1757,10001
2020-10-22,8250,21,6354,1875,10340
2020-10-23,8390,21,6455,1914,10654
2020-10-24,8469,24,6552,1893,10894
2020-10-25,8580,25,6607,1948,11118
2020-10-26,8654,33,6674,1947,11334
2020-10-27,8717,33,6674,2010,11587
2020-10-28,8824,34,6869,1921,11633
2020-10-29,8894,35,7019,1840,11559
2020-10-30,8945,39,7229,1677,11343
2020-10-31,9047,39,7375,1633,11028
