date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,106561,556,80770,25235,25235
2020-09-02,109780,567,84073,25140,50375
2020-09-03,113411,575,87351,25485,75860
2020-09-04,116678,584,90331,25763,101623
2020-09-05,120221,591,93774,25856,127479
2020-09-06,124031,599,96364,27068,154547
2020-09-07,127752,609,99398,27745,157057
2020-09-08,131140,622,102185,28333,160250
2020-09-09,134712,633,105295,28784,163549
2020-09-10,138589,644,108001,29944,167730
2020-09-11,142379,658,112062,29659,171533
2020-09-12,145964,669,115279,30016,174481
2020-09-13,149770,679,118642,30449,177185
2020-09-14,153750,690,122024,31036,179888
2020-09-15,157051,698,125738,30615,181719
2020-09-16,161059,709,129859,30491,182266
2020-09-17,164970,722,133466,30782,183389
2020-09-18,168813,735,137247,30831,184204
2020-09-19,172812,744,141125,30943,184698
2020-09-20,176917,754,144939,31224,184886
2020-09-21,180953,763,148455,31735,186006
2020-09-22,184899,774,152183,31942,187457
2020-09-23,188967,789,156018,32160,188835
2020-09-24,193143,805,159513,32825,190829
2020-09-25,197127,820,163575,32732,192618
2020-09-26,201157,836,167749,32572,193966
2020-09-27,204865,850,171048,32967,195198
2020-09-28,207952,866,174873,32213,195469
2020-09-29,210808,881,178678,31249,194558
2020-09-30,214097,895,182735,30467,192200
