date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,14766,240,9675,4851,4851
2020-09-02,15157,253,9968,4936,9787
2020-09-03,15581,260,10279,5042,14829
2020-09-04,16172,280,10674,5218,20047
2020-09-05,16566,298,11107,5161,25208
2020-09-06,17032,314,11632,5086,30294
2020-09-07,17316,325,12135,4856,30299
2020-09-08,17749,337,12581,4831,30194
2020-09-09,18084,347,12967,4770,29922
2020-09-10,18536,353,13389,4794,29498
2020-09-11,19026,365,13783,4878,29215
2020-09-12,19445,370,14228,4847,28976
2020-09-13,19833,385,14570,4878,28998
2020-09-14,20226,394,15027,4805,28972
2020-09-15,20601,405,15522,4674,28876
2020-09-16,21111,418,15923,4770,28852
2020-09-17,21428,431,16253,4744,28718
2020-09-18,21913,437,16715,4761,28632
2020-09-19,22456,448,17209,4799,28553
2020-09-20,22923,458,17556,4909,28657
2020-09-21,23191,467,18065,4659,28642
2020-09-22,23684,473,18454,4757,28629
2020-09-23,24227,481,18893,4853,28738
2020-09-24,24895,487,19311,5097,29074
2020-09-25,25489,494,19781,5214,29489
2020-09-26,26032,500,20205,5327,29907
2020-09-27,26400,513,20648,5239,30487
2020-09-28,26685,515,21156,5014,30744
2020-09-29,27066,517,21616,4933,30824
2020-09-30,27544,521,22074,4949,30676
