date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,115151,3451,95937,15763,105186
2020-10-02,116213,3501,97777,14935,100638
2020-10-03,117319,3562,99468,14289,96371
2020-10-04,118157,3603,100977,13577,92202
2020-10-05,119186,3641,102648,12897,88275
2020-10-06,120016,3679,104355,11982,83443
2020-10-07,120868,3712,105585,11571,79251
2020-10-08,121716,3741,107200,10775,75091
2020-10-09,122459,3773,108533,10153,70955
2020-10-10,123317,3798,109767,9752,67130
2020-10-11,123973,3833,110865,9275,63508
2020-10-12,124535,3860,112417,8258,59784
2020-10-13,125211,3894,113105,8212,56425
2020-10-14,125760,3925,114075,7760,53410
2020-10-15,126230,3954,115186,7090,50347
2020-10-16,126737,3980,116165,6592,47187
2020-10-17,127154,3999,116925,6230,44142
2020-10-18,127630,4012,117883,5735,41619
2020-10-19,128103,4029,118767,5307,38714
2020-10-20,128590,4037,119658,4895,35849
2020-10-21,129088,4060,120220,4808,33567
2020-10-22,129693,4072,121155,4466,31441
2020-10-23,130157,4095,121735,4327,29538
2020-10-24,130640,4107,122256,4277,28080
2020-10-25,131055,4117,122721,4217,26990
2020-10-26,131391,4125,123047,4219,26314
2020-10-27,131737,4138,123510,4089,25595
2020-10-28,132263,4158,123866,4239,25368
2020-10-29,132727,4168,124293,4266,25307
2020-10-30,133158,4187,124870,4101,25131
2020-10-31,133658,4203,125198,4257,25171
