date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,137148,1461,114880,20807,120862
2020-10-02,139359,1477,116940,20942,122449
2020-10-03,141509,1491,118943,21075,123824
2020-10-04,143693,1506,121033,21154,124935
2020-10-05,145858,1520,123123,21215,125774
2020-10-06,147979,1535,125150,21294,126487
2020-10-07,150130,1551,127228,21351,127031
2020-10-08,152268,1566,129320,21382,127471
2020-10-09,154448,1582,131468,21398,127794
2020-10-10,156571,1597,133620,21354,127994
2020-10-11,158715,1611,135692,21412,128191
2020-10-12,160847,1626,137550,21671,128568
2020-10-13,162882,1640,139318,21924,129141
2020-10-14,164903,1655,141537,21711,129470
2020-10-15,166942,1669,143686,21587,129659
2020-10-16,168952,1684,145887,21381,129686
2020-10-17,170944,1696,147993,21255,129529
2020-10-18,172929,1708,150081,21140,128998
2020-10-19,174889,1721,152275,20893,127967
2020-10-20,176786,1735,154797,20254,126510
2020-10-21,178596,1749,157662,19185,124108
2020-10-22,180418,1761,160316,18341,121068
2020-10-23,182233,1775,162683,17775,117588
2020-10-24,184085,1787,165198,17100,113548
2020-10-25,185906,1800,167438,16668,109323
2020-10-26,187711,1814,169664,16233,105302
2020-10-27,189507,1828,171730,15949,102066
2020-10-28,191292,1838,173746,15708,99433
2020-10-29,193082,1849,175679,15554,97212
2020-10-30,194876,1859,177766,15251,95363
2020-10-31,196656,1868,179686,15102,93797
