date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,396895,6819,342013,48063,48063
2020-09-02,402302,6906,347114,48282,96345
2020-09-03,407681,6988,352697,47996,144341
2020-09-04,413118,7061,358435,47622,191963
2020-09-05,418588,7120,363809,47659,239622
2020-09-06,423899,7200,369165,47534,287156
2020-09-07,429221,7284,374524,47413,286506
2020-09-08,434419,7366,380645,46408,284632
2020-09-09,439624,7437,386696,45491,282127
2020-09-10,444717,7498,392351,44868,279373
2020-09-11,449803,7572,397461,44770,276484
2020-09-12,454912,7639,403340,43933,272883
2020-09-13,460194,7707,408590,43897,269367
2020-09-14,465397,7752,413931,43714,266673
2020-09-15,470633,7810,419348,43475,264657
2020-09-16,475798,7859,424722,43217,263006
2020-09-17,480869,7915,429806,43148,261384
2020-09-18,485918,7975,434840,43103,260554
2020-09-19,491040,8033,440001,43006,259663
2020-09-20,496068,8084,444990,42994,258943
2020-09-21,501016,8137,450133,42746,258214
2020-09-22,506010,8206,455059,42745,257742
2020-09-23,510926,8265,460041,42620,257214
2020-09-24,516190,8326,465074,42790,256901
2020-09-25,521460,8392,470239,42829,256724
2020-09-26,526716,8471,475400,42845,256575
2020-09-27,532000,8546,480539,42915,256744
2020-09-28,537194,8607,485488,43099,257098
2020-09-29,542223,8668,490457,43098,257576
2020-09-30,547416,8730,495537,43149,257935
