date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,26063,280,20069,5714,35371
2020-10-02,26359,283,20573,5503,34703
2020-10-03,26549,286,20874,5389,34003
2020-10-04,26871,290,21387,5194,33485
2020-10-05,27030,296,21853,4881,32469
2020-10-06,27305,298,22108,4899,31580
2020-10-07,27542,298,22654,4590,30456
2020-10-08,27756,301,23043,4412,29365
2020-10-09,27979,308,23451,4220,28196
2020-10-10,28150,310,23778,4062,27064
2020-10-11,28349,312,24063,3974,26157
2020-10-12,28458,313,24380,3765,25023
2020-10-13,28675,314,24600,3761,24194
2020-10-14,28856,315,25018,3523,23305
2020-10-15,29028,316,25371,3341,22426
2020-10-16,29190,320,25742,3128,21492
2020-10-17,29324,323,26012,2989,20507
2020-10-18,29465,326,26199,2940,19682
2020-10-19,29550,328,26527,2695,18616
2020-10-20,29685,328,26725,2632,17725
2020-10-21,29797,329,26990,2478,16862
2020-10-22,29922,331,27229,2362,16096
2020-10-23,30067,336,27479,2252,15359
2020-10-24,30132,337,27717,2078,14497
2020-10-25,30218,340,27863,2015,13817
2020-10-26,30254,340,28046,1868,13053
2020-10-27,30290,341,28130,1819,12394
2020-10-28,30450,341,28332,1777,11809
2020-10-29,30563,342,28502,1719,11276
2020-10-30,30660,343,28714,1603,10801
2020-10-31,30714,343,28855,1516,10302
