date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,226288,3363,169392,53533,53533
2020-09-02,231722,3435,173858,54429,107962
2020-09-03,237146,3507,178201,55438,163400
2020-09-04,242981,3575,183054,56352,219752
2020-09-05,249371,3652,188005,57714,277466
2020-09-06,255721,3726,192601,59394,336860
2020-09-07,261132,3777,197431,59924,343251
2020-09-08,267543,3845,202610,61088,349910
2020-09-09,273902,3907,208115,61880,356352
2020-09-10,280656,3997,212581,64078,364078
2020-09-11,287428,4071,218350,65007,371371
2020-09-12,293950,4135,224196,65619,377596
2020-09-13,299918,4212,229941,65765,383437
2020-09-14,304905,4271,235663,64971,387320
2020-09-15,311536,4382,242114,65040,390480
2020-09-16,317522,4466,248395,64661,391063
2020-09-17,323325,4542,252958,65825,391881
2020-09-18,329570,4638,259555,65377,391639
2020-09-19,335144,4719,265865,64560,390434
2020-09-20,340707,4810,272213,63684,389147
2020-09-21,345129,4896,278353,61880,385987
2020-09-22,350553,4972,284737,60844,382170
2020-09-23,355400,5054,291030,59316,375661
2020-09-24,359859,5119,295803,58937,369221
2020-09-25,363880,5199,301676,57005,361666
2020-09-26,368005,5261,307931,54813,352795
2020-09-27,372078,5335,313381,53362,344277
2020-09-28,375696,5390,318581,51725,335158
2020-09-29,379428,5448,324062,49918,325760
2020-09-30,383403,5514,329299,48590,315413
