date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,49248,625,39836,8787,59837
2020-10-02,49559,636,40176,8747,57518
2020-10-03,50062,648,41095,8319,54828
2020-10-04,51481,652,41487,9342,53894
2020-10-05,51991,669,42368,8954,53503
2020-10-06,52329,677,42968,8684,52833
2020-10-07,52959,688,43631,8640,52686
2020-10-08,53359,702,44535,8122,52061
2020-10-09,54063,716,45774,7573,51315
2020-10-10,54525,734,46186,7605,49578
2020-10-11,55051,747,46642,7662,48286
2020-10-12,55347,762,47306,7279,46881
2020-10-13,55641,782,47971,6888,45129
2020-10-14,56070,796,48798,6476,43483
2020-10-15,56493,814,49631,6048,41958
2020-10-16,57042,829,50155,6058,40411
2020-10-17,57648,924,50820,5904,38653
2020-10-18,58024,927,50982,6115,37489
2020-10-19,58360,933,51486,5941,36542
2020-10-20,58601,946,51862,5793,35859
2020-10-21,59106,960,52632,5514,35325
2020-10-22,59508,968,53200,5340,34607
2020-10-23,59796,979,53718,5099,33802
2020-10-24,60155,984,54169,5002,32689
2020-10-25,60376,993,54488,4895,31643
2020-10-26,60744,1001,55188,4555,30405
2020-10-27,60957,1007,55610,4340,29231
2020-10-28,61261,1009,56073,4179,28070
2020-10-29,61566,1009,56529,4028,26999
2020-10-30,61915,1011,56771,4133,26130
2020-10-31,62328,1023,56923,4382,25617
