date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,252218,4938,221703,25577,149747
2020-10-02,255411,4991,224534,25886,151183
2020-10-03,258625,5051,227437,26137,152745
2020-10-04,261872,5111,230294,26467,154424
2020-10-05,265102,5170,233204,26728,156122
2020-10-06,268383,5231,236122,27030,157825
2020-10-07,271738,5287,239049,27402,159650
2020-10-08,275140,5349,241905,27886,161650
2020-10-09,278578,5410,244879,28289,163802
2020-10-10,282034,5470,247828,28736,166071
2020-10-11,285484,5528,250813,29143,168486
2020-10-12,288912,5587,253853,29472,170928
2020-10-13,292415,5648,256923,29844,173370
2020-10-14,295949,5712,259976,30261,175745
2020-10-15,299547,5771,263066,30710,178166
2020-10-16,303181,5828,266160,31193,180623
2020-10-17,306880,5888,269242,31750,183230
2020-10-18,310735,5951,272212,32572,186330
2020-10-19,314566,6013,275344,33209,189695
2020-10-20,318442,6074,278652,33716,193150
2020-10-21,322379,6138,282091,34150,196590
2020-10-22,326377,6201,285564,34612,200009
2020-10-23,330342,6261,289073,35008,203267
2020-10-24,334349,6320,292750,35279,205974
2020-10-25,338355,6380,296466,35509,208274
2020-10-26,342329,6439,300252,35638,210196
2020-10-27,346119,6496,304013,35610,211656
2020-10-28,349921,6554,307772,35595,212639
2020-10-29,353772,6611,311632,35529,213160
2020-10-30,357623,6670,315554,35399,213280
2020-10-31,361483,6727,319459,35297,213068
